symbol,open,high,low,close,volume
1332,2591,2773,2350,2526,837864
1928,4943,5187,4870,5154,2337008
2874,4140,4303,4035,4072,507221
3048,4671,4686,4391,4623,2592951
3050,2601,2830,2521,2565,4304490
3097,1496,1787,1264,1527,2213978
3289,3407,3558,3258,3479,2997241
4023,4731,4765,4489,4510,2678330
4047,1424,1669,1228,1642,2585951
4188,2379,2430,2224,2408,1617100
4205,3101,3191,2835,2954,4001772
4633,4015,4122,3747,3859,4957191
4634,4068,4232,4020,4191,777938
4887,2528,2617,2388,2579,3194699
5706,2010,2013,1821,1916,3901656
5711,4733,4791,4563,4740,567450
6269,3399,3688,3192,3622,2773052
6368,3852,4011,3588,3774,4317987
6875,3680,3879,3383,3613,3311826
6952,3198,3455,2951,2993,854857
6976,2171,2333,2007,2083,3868284
7173,3802,3820,3746,3762,1020425
7226,1699,1876,1639,1873,3015757
7242,2243,2320,2172,2293,2970347
7337,1537,1582,1380,1582,1730295
7729,1519,1740,1406,1428,1067150
7994,3166,3314,3080,3160,1998843
8367,3916,3998,3888,3947,3718192
8388,1140,1428,978,1391,1325439
8511,1548,1656,1421,1537,3993798
8616,2912,3154,2765,3114,3679357
9412,2824,3014,2565,2650,2361906
9506,2175,2287,2099,2239,2494304
9551,1188,1209,977,1188,762940
