symbol,open,high,low,close,volume
1332,4905,5186,4902,5036,1921932
1928,4694,4774,4551,4658,1635942
2874,3067,3353,2973,3057,4649604
3048,2990,3069,2870,2875,3896923
3050,3348,3623,3242,3456,1502454
3097,3939,4087,3749,3891,2157267
3289,3671,3942,3534,3641,2674771
4023,2813,2970,2585,2633,3075921
4047,2473,2727,2252,2707,4368891
4188,2802,2943,2792,2821,1182804
4205,2449,2460,2213,2252,2188487
4633,2510,2657,2483,2648,4312636
4634,4035,4207,4007,4180,807798
4887,3739,3753,3665,3720,1915238
5706,4399,4407,4108,4246,3434989
5711,2469,2618,2346,2411,2491360
6269,4908,5070,4857,4935,1768057
6368,1958,2033,1673,2027,606110
6875,2834,2974,2629,2770,572206
6952,4075,4358,3866,4188,2238867
6976,4666,4799,4432,4614,4697557
7173,3797,4091,3588,3781,1347241
7226,4412,4466,4206,4263,796395
7242,4224,4464,4107,4371,391812
7337,2113,2265,1897,2185,2110936
7729,1908,2189,1661,1713,209990
7994,2483,2492,2472,2485,2969854
8367,1448,1741,1329,1418,1571845
8388,2548,2586,2480,2489,357255
8511,2176,2364,2144,2171,3616599
8616,4818,4954,4788,4949,1633691
9412,1174,1443,1073,1313,1751537
9506,2102,2343,1884,2039,3377089
9551,3520,3662,3317,3429,1854738
